,file_names,reviews,labels
0,negativas_2374.txt,"El catálogo de aplicaciones es una basura. No tiene aplicaciones tan comunes como Tumblr entre otras. Tiene cuatro cosas disponibles y bastante malas.
",B
1,neutras_1421.txt,"La tablet en si no está mal pero la limitación que impone que sea de Amazon y sólo puedas usar aplicaciones de ellos es un engorro. No la recomiendo por este motivo. Cuando necesitas una aplicacion concreta que está disponible para Android y para IOS y no puedes instalarla, te das cuenta de que está muy limitada. Yo tengo esta y otra para mis hijos pero sólo les sirve para jugar a cuatro juegos y para ver series o pelis, para repasar los contenidos digitales del colegio por ejemplo no pueden usarlos porque la aplicacion no se puede instalar... o para jugar a juegos que juegan sus amigos... yo desde luego que no volvería a comprarla por esta limitación.
",N
2,neutras_1432.txt,"En cuanto a calidad/precio para mi un 10. Le he dado bastante uso y sí que es verdad que en ocasiones sufre algún lag, pero nada grave. Principalmente la quería para uso escolar (tomar apuntes, abrir pdf o diapositivas) y doméstico (ver películas, leer libros) y cumple perfectamente. La pega que tiene es que Amazon te capa el uso a sólo aplicaciones que puedas instalar desde su tienda de aplicaciones y eso limita un poco su utilidad, aunque siempre se puede buscar alguna manera de instalar el Play Store y después todas las aplicaciones que quieras. Por mi parte, la recomiendo.
",N
3,positivas_1696.txt,"Es una gran solución para poder leer libros en cualquier parte. Su tamaño y su ligereza los hacen totalmente portable. A este modelo le falta luz integrada (como el &#34;paper white&#34;). Algo mejorable también es la &#34;navegación&#34; dentro del libro. Por ejemplo, para un l&#34;ibro de consulta&#34;, como es un libro de ajedrez, no resulta nada fácil ir adelante y atrás de forma fácil y localizando fácilmente dónde quieres ir.
",N
4,neutras_1401.txt,"Una tablet acordé a su precio. Funciona bien por el momento, fue un regalo y todavía no me han dicho que tramite la garantía por lo que supongo que va bien. Por lo que pude trastear, buena pantalla, no lag, funciona bien para uso web, películas, YouTube, redes sociales, etc. No creo que igual para juegos ( aunque ni la probé ni se va a usar para ello).
",G
5,neutras_1396.txt,"Las prestaciones son bastante buenas, muy rápida y buena imagen, pero por el momento no he podido disfrutarla. La primera que me mandaron venía con defecto de fábrica y la pantalla se ponía a parpadear cada cierto tiempo por lo que había que reiniciar. Me puse en contacto con SAT de BQ y me la cambiaron por otra que, vaya suerte la mía (espero que sea casualidad), tiene problemas con la conexión HDMI y no se puede conectar a ningún dispositivo. Espero que a la tercera vaya la vencida y no tenga que volver a usar el SAT de BQ que, por otro lado, es bastante rápido.  EDITO: tercer Tablet recibido y de momento todo correcto.
",B
6,neutras_1442.txt,"Tablet físicamente gruesa, plasticosa, y algo tosca, más bien feota. Funcionalmente, trabaja algo lento, pero es un stand de publicidad de Amazon, todo el rato anuncios, podría decir que es como un renting de un producto interno y que aceptas el bombardeo constante de productos en venta. El SO es un Android capado, solo instalas apps desde Amazon, donde no encuentras aplicaciones como HBO a pesar de haberlo leído en alguna respuesta de clientes. El precio es justo.
",B
7,neutras_1433.txt,"No esta mal por el precio pero que el tema de la Appstore de Amazon limita mucho el dispositivo.... La pantalla deja que desear imposible ver un video o streaming en plataformas VOD en la playa o con claridad
",N
8,positivas_1684.txt,"Tenía dudas de si comprar este producto o no, pero no me arrepiento para nada en haberlo comprado. Es Pequeño, finito, no pesa nada, la batería dura mucho y tiene muy buena calidad.
",G
9,neutras_1430.txt,"Funciona bastante bien. No es de lo más rápido ni con las mejores prestaciones pero hace su papel. Para navegar, ver el correo y alguna cosa más va perfecta. No se que tal se desenvolverá con juegos. La pantalla se ve bastante bien en interiores. En el exterior sufre. Los anuncios de Amazon son bastante molestos. .... La batería me esta sorprendiendo gratamente. Las medidas del tablet, al ser de 8 pulgadas, es más cómodo de manejar que uno de 10. El grosor del table es una cosa que no me ha gustado mucho, es un poco grueso. Se puede tener instalado la tienda de Google con unos muy sencillos pasos, yo la tengo instalada y funciona correctamente.
",N
10,negativas_2381.txt,"no es Android Original y no tiene programas. todos no disponibles. mala compra no lo recomiendo, es solo para comprar mas cosas de amazon.
",B
11,neutras_1405.txt,"Lo compre despues de mirar mucho calidad precio y sobre lo que queria gastarme.el Problema que le veo es que el brillo de la pantalla se  baja y sube a su gusto
",N
12,neutras_1443.txt,"Estupenda calidad de imagen y sonido, teniendo en cuenta su nivel de precio. Limita muchísimo el que solo puedas contar con las aplicaciones que propone Amazon, imposible instalar playstore, y si hay alguna forma de hacerlo será muuuuy rebuscada, y me niego a trastear... hay mas tablets. Movistar TV no se puede ver ni instalando la Apk, ni directamente desde la misma web de Movistar. Si tienes bastante con lo que propone Amazon te la recomiendo. En mi caso la he devuelto.
",B
