,file_names,reviews,labels
0,H_21541384_1.txt,"﻿3.5

Son ""pisos patera"", literalmente es una habitacion con un sofa cama, el critsal de la mesa estaba suelto y casi se nos cae al mover la mesa, me toco dormir en un sillon-cama que se plegaba, la piscina es grande, lo que pasa que hay tontos que van a las 6 de la maÃ±ana a coger tumbona para todo el dia y luego no hay sitio para los demas, si arreglaran eso y las habitaciones fueran un poco mas grande (al menos tenian baÃ±o, era pequeÃ±o, pero bueno, algo es algo). El precio era economico.
",N
1,H_21541384_3.txt,"﻿2.0

Habia telaraÃ±as en la habitacion, polvo y las sabanas pesaban un monton, casi me ahogo con las sabanas!!
",B
2,H_21541384_5.txt,"﻿1.0

Menuda mierda de hotel, era tan malo que me fui sin pagar.
",B
3,H_21544826_1.txt,"﻿1.0
Horrible. He ido con mis padres y mi hermana y les pedimos dos habitaciones en la misma planta y nos dijeron que no había, que unos en la 4 y otros en la 5. A nuestro lado vinos a unos chicos ingleses que también les pedían en la misma planta y les dieron como a nosotros unos en la 4 y otros en la 5. El ascensor no funcionaba y el otro que había estaba siempre lleno, por lo que acabas yendo por las escaleras después de tanto esperar. La ""piscina"" tenía daños o se estaba limpiando, depende a quien le preguntes te dice una cosa u otra.
",B
4,H_21544826_2.txt,"﻿1.2
Muy sucio. La cama incómoda y la almohada fatal. Tuve que pedir en recepción otra almohada para ponerla por encima y entre las dos hacer una ""almohada"" un poco más decente.
",B
5,H_21544826_3.txt,"﻿3.9
El desayuno no era gran cosa, sólo había bollería y nada de fruta o tostadas. La habitación es amplia y no hay queja.
",N
6,H_21544826_4.txt,"﻿3.8
Buena ubicación y personal amable pero desde la habitación se escuchan todos los ruidos de la calle, pasillo y otras habitaciones. Cama cómoda pero con tanto ruido es algo difícil dormir.
",N
7,H_21606342_1.txt,"﻿1.0

Una puta mierda. Literalmente además, en el váter había restos de mierda sin limpiar. Si esto ya no es tanto asqueroso como insultante, las camas estaban hechas una porquería. Pensamos que hasta tenían bichos, porque nos despertamos llenos de picaduras. Tuvimos que volvernos tres días antes solo para no dormir en este cuchitril.
",B
8,H_21606342_2.txt,"﻿3.4

Me quede a cuadros cuando llegué: Estaba en una planta en construcción, y la habitación eran enana, poco más que una celda con una nevera ruidosa de cojones, y los baños y duchas compartidos en toda la planta. Me sentía como un fujitivo en un piso franco. Pero resulta que las camas eran bastante cómodas, y el sitio pese a parecer cutre estaba muy, muy limpio, especialmente los baños. Lo único que me impedía dormir es que las cortinas no tapaban bien la luz, y la ventilación era malísima, pero quitando eso no era tan mal sitio. Sirve en una emergencia a precio barato.
",N
9,H_21606342_3.txt,"﻿5.0

El mejor hotel en el que he estado, muy caro pero valía completamente la pena. La decoración rústica y mediterranea y la habitación tenía vistas al Mediterraneo, el servicio de hostelería muy amable. La piscina era fantástica, con un bar de cocteles dentro. Unos días de relajación completa que totalmente valían lo que costaban.
",G
10,H_21606342_4.txt,"﻿3.0

Un sitio para quedarse a dormir y ya. Las camas muy duras, las ""almohadas"" blandísimas, y el desayuno no estaba mal. No es gran cosa pero sirve si tienes que quedarte ahí.
",N
