,texts,polarity,subjectivity,positivity,negativity,neutrality,compound
0,"﻿4.5
Me encantó el sitio así quería, la única pega que le pongo es que era un poco caro. Por lo demás las habitaciones son muy espaciosas y la comida era muy buena.
",0.26199999999999996,0.716,0.106,0.054,0.84,0.4404
1,"﻿5.0
Mi suegro me regaló una experiencia de hotel y spa, asi que escogimos este sitio para aprovecharla. Creo que fue la mejor elección porque nos trataron estupendamente. El circuito de spa y aguas termales es estupendo y la comida exquisita. Además las vistas al mar son de foto. Lo recomiendo, el precio está más que justificado.
",0.6857142857142858,0.7571428571428572,0.228,0.0,0.772,0.9477
2,"﻿5.0
Una experiencia muy buena en lineas generales. El limpiador de la habitación muy bueno y muy simpático, el horario para los desayunos muy cómodo, las instalaciones del hotel estupendas para relajarse y disfrutar de unas buenas vacaciones en familia.
COn respecto al buffet, un 10 para Manuel que fue el que me freia los huevos fritos por la mañana y un 10 para Sara, la camarera que nos ha atendido las 25 noches, muy símpatica y muy divertida. Para el día de la salida, muy cómodo porque el propio hotel te lleva en coche al aeropuerto, evitándote coger el transporte público. Y por último el trato de las recepcionistas junto con Sonsoles muy cercano y muy bueno. En lineas generales 10/10
",0.46453125000000006,0.7004166666666667,0.323,0.016,0.661,0.9925
3,"﻿5.0

El mejor hotel donde he estado, un buffet libre donde te pones hasta arriba de comer, el camarero muy simpatico (si le decis que os gusta el metal os guarda las mejores cosas), la piscina genial, el wifi funciona decentemente bien, la playa estÃ¡ a escasos 5 minutos andando y las vistas son geniales. He ido ya unas cuantas veces y si por mi fuera viviria en el hotel. Por poner una pega, los horarios del buffet estan pensados para los guiris.
",0.45905303030303035,0.5816666666666667,0.283,0.0,0.717,0.9817
4,"﻿4.5

Eran habitaciones pequeÃ±itas, con mininevera, microondas y una tele (si entiendes finÃ©s o inglÃ©s esta bien porque es lo unico que vas a ver), tienes un super a 5 minutos andando y esta casi todo en ingles y fines por lo que no vas a tener ningun problema para realizar vida normal alli. Eso si, las vistas al mar baltico expectaculares. POr poner una pega, las cortinas se caian con solo mirarlas y a las 3 de la maÃ±ana ya es de dia.
",0.1706349206349206,0.5169312169312169,0.092,0.0,0.908,0.7881
5,"﻿4.8
Me encantó. Muy buena ubicación y personal amable. La única pega que el spa cierra muy pronto.
",0.437,0.6759999999999999,0.351,0.068,0.58,0.8516
6,"﻿5.0

El mejor hotel en el que he estado, muy caro pero valía completamente la pena. La decoración rústica y mediterranea y la habitación tenía vistas al Mediterraneo, el servicio de hostelería muy amable. La piscina era fantástica, con un bar de cocteles dentro. Unos días de relajación completa que totalmente valían lo que costaban.
",0.21718750000000003,0.4325,0.305,0.0,0.695,0.9733
7,"﻿5.0

Había overbooking en el hotel, así que en vez de decirnos que no había hueco, nos dejaron una suite al mismo precio. El sitio era muy cómodo, pero solo por eso se merecen la mejor puntuación, se preocupan por el cliente!!!
",0.304,0.485,0.225,0.027,0.747,0.9283
8,"﻿4.7
¡¡¡Hotel inmejorable!!! Sin duda en el centro de Salamanca a nada de la plaza y del casco antiguo
lo único que me faltó fue un desayuno un poco más variado, pero el resto fue genial, la habitación
era amplia, el baño igual, el servicio muy tranquilo, y lo mejor la ubicación
lo recomiendo muchísimo!!!
",0.25,0.4448333333333333,0.253,0.022,0.725,0.9615
9,"﻿5.0
¡¡Que divertido fue!! Fuimos para año nuevo y la verdad es que la fiesta que organizarón
fue increible, el trato era genial y además era muy internacional.
Las vistas a la playa buenísimas, me encantó muchísimo!!
Os lo recomiendo a todos
",0.4757305194805195,0.4806493506493506,0.307,0.0,0.693,0.9636
10,"﻿4.5
El hotel tiene un increible servicio de camareros y las habitaciones son muy acojedoras.
",0.4,0.6,0.174,0.0,0.826,0.5859
11,"﻿4.8
Increible. No tengo ninguna queja de este hotele. 100% recomendable.
",0.6000000000000001,0.9,0.193,0.249,0.558,-0.0258
12,"﻿5.0
Estuve alojada este fin de semana y no tengo nada malo que decir. IncreÃ­ble la localizaciÃ³n, estÃ¡ en todo el centro de la ciudad. Quiero destacar que hay muchÃ­simas actividades para niÃ±os. El personal es muy amable, recibÃ­ una atenciÃ³n muy personalizada en todo momento. Sin duda volveremos.
",0.16093750000000004,0.4677083333333333,0.174,0.0,0.826,0.8535
13,"﻿5.0
Es hotel fantÃ¡stico. Tiene unas instalaciones espectaculares, con grandes piscinas y un spa. AdemÃ¡s a 5 minutos tienes una playa enorme donde puedes realizar surf. 
En el hotel se organizaban muchas actividades para visitar la ciudad o monumentos cercano. 
Sin duda uno de los mejores hoteles en los que he estado. 
",0.5190476190476191,0.6547619047619048,0.193,0.0,0.807,0.9044
14,"﻿5.0
Es un hotel maravilloso situado a unos metros de la playa, poco ruidoso por la noche y además hay bastante lugares que visitar cerca del hotel. El precio del hotel es barato para la calidad que ofrece.
",0.20208333333333336,0.45,0.08,0.031,0.889,0.5095
15,"﻿4.0
para el precio que tiene es cojonudo
",-0.6,0.8,0.0,0.0,1.0,0.0
16,"﻿4.5
ESTANDAR, RAPIDOS Y EFICIENTE. BARATO Y BUENO, LO RECOMIENDO
",0.3666666666666667,0.43333333333333335,0.486,0.0,0.514,0.886
17,"﻿5.0
Excelente resort. Fuimos una semana y estuvimos muy cómodos, la atención fue genial y el ambiente y las actividades son increibles.
",0.805,0.9125,0.322,0.0,0.678,0.908
18,"﻿4.0
Hotel bastante bueno, buena ubicación y buen servicio. La comida sería lo unico regular de este hotel.
",0.41999999999999993,0.5753846153846155,0.313,0.0,0.687,0.8618
19,"﻿4.5
Magnifico hotel ubicado en el centro de madrid. Perfecto para una escapda con tu pareja.
Vistas increibles, servicio encantador, y la habitación perfecta.
Lo único malo, el precio.
",0.45,0.8020833333333334,0.348,0.072,0.58,0.9231
20,"﻿5.0
Las vistas son una maravilla y el desayuno tambien.
",1.0,1.0,0.252,0.0,0.748,0.5719
21,"﻿3.5
El hotel cumplio con nuestras expectativas
",0.0,0.0,0.0,0.0,1.0,0.0
22,"﻿4.0
El hotel era una maravilla, pero me falto la sala de fumadores para fumarme mis porrillos
",1.0,1.0,0.116,0.094,0.79,0.1154
23,"﻿5.0
Fantastica estancia, gracias a abdul por traernos el desayuno a la habitacion todos los dias!!
",0.325,0.55,0.298,0.0,0.702,0.7777
24,"﻿5.0
La experiencia inmejorable, la atención por parte de los empleados del hotel fue exquisita y en todo momento me senti bien recibido.
",1.0,1.0,0.08,0.0,0.92,0.2732
25,"﻿5.0
El mejor hotel que hemos pisado nunca.
Repetimos!!
",1.0,0.3,0.243,0.0,0.757,0.6696
26,"﻿4.5
pos bueno el sitio estaba guay y eso encima las pavas del sitio estaban to buenas asi que todos contentos jaja
",0.5125,0.6375,0.409,0.0,0.591,0.9266
27,"﻿5.0
Excelente hotel. Todos los aspectos son lujosos y bien cuidados.
",1.0,1.0,0.417,0.0,0.583,0.8225
